   T(K)   S(J/mol.K)     Cp(J/mol.K)     ddH(kJ/mol)     dHf(kJ/mol)     dGf(kJ/mol)         log Kf
   0.00        0.000           0.000           0.000       -3531.763       -3531.763       Infinity
 100.00      310.564          96.836           5.519       -3542.210       -3491.086       1823.534
 200.00      404.402         179.405          19.532       -3552.109       -3435.880        897.349
 298.15      487.587         237.333          40.170       -3557.901       -3377.453        591.709
 300.00      489.058         238.211          40.610       -3557.974       -3376.332        587.865
 400.00      563.183         275.976          66.467       -3560.534       -3315.328        432.932
 500.00      627.506         299.612          95.337       -3561.228       -3253.918        339.930
 600.00      683.570         314.776         126.110       -3561.085       -3192.463        277.925
 700.00      732.902         324.883         158.125       -3560.805       -3131.056        233.639
 800.00      776.768         331.881         190.984       -3560.838       -3069.657        200.426
 900.00      816.163         336.894         224.436       -3561.559       -3008.226        174.591
1000.00      851.859         340.594         258.319       -3626.751       -2942.109        153.678
1100.00      884.458         343.394         292.525       -3627.386       -2873.614        136.455
1200.00      914.434         345.562         326.977       -3627.954       -2805.060        122.100
1300.00      942.164         347.271         361.622       -3628.483       -2736.466        109.951
1400.00      967.952         348.642         396.420       -3628.993       -2667.826         99.537
1500.00      992.045         349.757         431.342       -3629.510       -2599.162         90.510
1600.00     1014.648         350.676         466.365       -3630.039       -2530.450         82.610
1700.00     1035.931         351.442         501.472       -3630.596       -2461.718         75.638
1800.00     1056.038         352.087         536.649       -3631.192       -2392.943         69.441
1900.00     1075.089         352.635         571.886       -3631.835       -2324.130         63.894
2000.00     1093.189         353.105         607.173       -3632.527       -2255.277         58.901
2100.00     1110.427         353.510         642.505       -3633.282       -2186.398         54.383
2200.00     1126.881         353.862         677.874       -3634.099       -2117.485         50.275
2300.00     1142.618         354.170         713.276       -3634.987       -2048.533         46.523
2400.00     1157.697         354.441         748.707       -3635.944       -1979.624         43.085
2500.00     1172.171         354.680         784.163       -3636.976       -1910.541         39.918
2600.00     1186.086         354.893         819.642       -3638.079       -1841.532         36.996
2700.00     1199.483         355.082         855.141       -3639.256       -1772.386         34.288
2800.00     1212.400         355.252         890.658       -5403.916       -1697.331         31.664
2900.00     1224.869         355.405         926.191       -5398.670       -1565.038         28.189
3000.00     1236.920         355.543         961.738       -5393.493       -1433.022         24.951
3100.00     1248.580         355.668         997.299       -5388.394       -1301.131         21.924
3200.00     1259.874         355.781        1032.871       -5383.371       -1169.384         19.088
3300.00     1270.824         355.885        1068.455       -5378.407       -1037.767         16.426
3400.00     1281.449         355.979        1104.048       -5373.516        -906.132         13.921
3500.00     1291.769         356.066        1139.650       -5368.689        -774.878         11.564
3600.00     1301.801         356.145        1175.261       -5363.936        -643.631          9.339
3700.00     1311.560         356.218        1210.879       -5359.245        -512.593          7.236
3800.00     1321.061         356.286        1246.504       -5354.616        -381.796          5.248
3900.00     1330.316         356.348        1282.136       -5350.055        -251.033          3.362
4000.00     1339.339         356.406        1317.774       -5345.563        -120.323          1.571
4100.00     1348.140         356.459        1353.417       -5341.143          10.329         -0.132
4200.00     1356.731         356.509        1389.065       -5336.789         140.681         -1.750
4300.00     1365.120         356.556        1424.719       -5332.502         271.213         -3.295
4400.00     1373.318         356.599        1460.376       -5328.294         401.388         -4.765
4500.00     1381.332         356.639        1496.038       -5324.153         531.472         -6.169
4600.00     1389.171         356.677        1531.704       -5320.102         661.729         -7.514
4700.00     1396.842         356.713        1567.374       -5316.139         791.572         -8.797
4800.00     1404.352         356.746        1603.047       -5312.268         921.552        -10.028
4900.00     1411.709         356.777        1638.723       -5308.488        1051.406        -11.208
5000.00     1418.917         356.807        1674.402       -5304.823        1181.097        -12.339
5100.00     1425.983         356.834        1710.084       -5301.262        1310.936        -13.427
5200.00     1432.912         356.861        1745.769       -5297.827        1440.564        -14.470
5300.00     1439.710         356.885        1781.456       -5294.524        1570.018        -15.473
5400.00     1446.381         356.909        1817.146       -5291.361        1699.571        -16.440
5500.00     1452.930         356.931        1852.838       -5288.342        1828.908        -17.369
5600.00     1459.362         356.952        1888.532       -5285.482        1958.376        -18.267
5700.00     1465.680         356.971        1924.228       -5282.796        2087.569        -19.130
5800.00     1471.888         356.990        1959.926       -5280.278        2216.871        -19.965
5900.00     1477.991         357.008        1995.626       -5277.958        2346.244        -20.772
6000.00     1483.991         357.025        2031.328       -5275.718        2475.475        -21.551
