 T (K)   S (J/mol.K)     Cp (J/mol.K)    ddH (kJ/mol)        dHf (kJ/mol)     dGf (kJ/mol)  log Kf
   0.00        0.000           0.000           0.000       -1211.411       -1211.411           Inf
 100.00      332.980          95.373           6.561       -1213.073       -1208.216       631.100
 200.00      412.122         134.741          18.206       -1216.260       -1202.146       313.965
 298.15      470.937         159.587          32.744       -1218.728       -1194.657       209.296
 300.00      471.925         159.951          33.040       -1218.765       -1194.507       207.980
 400.00      520.235         175.372          49.870       -1220.417       -1186.154       154.894
 500.00      560.469         184.853          67.918       -1221.652       -1177.441       123.005
 600.00      594.746         190.896          86.727       -1222.838       -1168.489       101.725
 700.00      624.494         194.913         106.030       -1224.285       -1159.326        86.509
 800.00      650.713         197.691         125.669       -1226.218       -1149.914        75.081
 900.00      674.119         199.680         145.542       -1228.862       -1140.227        66.176
1000.00      695.237         201.147         165.587       -1285.321       -1126.402        58.836
1100.00      714.462         202.258         185.760       -1288.041       -1110.377        52.727
1200.00      732.100         203.117         206.031       -1290.743       -1094.105        47.625
1300.00      748.385         203.795         226.377       -1293.438       -1077.610        43.298
1400.00      763.509         204.339         246.785       -1296.131       -1060.905        39.582
1500.00      777.622         204.781         267.242       -1298.833       -1044.014        36.355
1600.00      790.851         205.146         287.739       -1301.545       -1026.933        33.526
1700.00      803.297         205.450         308.269       -1304.274       -1009.694        31.024
1800.00      815.048         205.706         328.827       -1307.026        -992.288        28.795
1900.00      826.175         205.923         349.409       -1309.799        -974.722        26.797
2000.00      836.743         206.109         370.011       -1312.596        -957.010        24.994
2100.00      846.803         206.270         390.630       -1315.424        -939.162        23.360
2200.00      856.402         206.410         411.264       -1318.281        -921.181        21.871
2300.00      865.580         206.532         431.911       -1321.171        -903.070        20.509
2400.00      874.372         206.639         452.570       -1324.093        -884.902        19.259
2500.00      882.810         206.734         473.239       -1327.049        -866.499        18.104
2600.00      890.919         206.819         493.916       -1330.039        -848.079        17.038
2700.00      898.726         206.894         514.602       -1333.062        -829.463        16.047
2800.00      906.252         206.961         535.295       -2805.625        -805.848        15.033
2900.00      913.515         207.022         555.994       -2803.240        -734.464        13.229
3000.00      920.535         207.076         576.699       -2800.884        -663.243        11.548
3100.00      927.325         207.126         597.409       -2798.566        -592.057         9.976
3200.00      933.902         207.171         618.124       -2796.284        -520.930         8.503
3300.00      940.278         207.212         638.843       -2794.027        -449.858         7.121
3400.00      946.464         207.249         659.566       -2791.805        -378.709         5.818
3500.00      952.472         207.284         680.293       -2789.614        -307.827         4.594
3600.00      958.312         207.315         701.023       -2787.459        -236.895         3.437
3700.00      963.993         207.344         721.756       -2785.334        -166.092         2.345
3800.00      969.523         207.371         742.492       -2783.239         -95.442         1.312
3900.00      974.910         207.396         763.230       -2781.180         -24.777         0.332
4000.00      980.161         207.419         783.971       -2779.156          45.896        -0.599
4100.00      985.283         207.440         804.714       -2777.171         116.564        -1.485
4200.00      990.282         207.460         825.459       -2775.223         187.021        -2.326
4300.00      995.164         207.478         846.206       -2773.312         257.664        -3.130
4400.00      999.934         207.495         866.954       -2771.446         328.055        -3.894
4500.00     1004.597         207.511         887.705       -2769.616         398.407        -4.625
4600.00     1009.158         207.526         908.457       -2767.841         468.931        -5.325
4700.00     1013.621         207.541         929.210       -2766.122         539.149        -5.992
4800.00     1017.991         207.554         949.965       -2764.457         609.516        -6.633
4900.00     1022.270         207.566         970.721       -2762.847         679.815        -7.247
5000.00     1026.464         207.578         991.478       -2761.312         749.998        -7.835
5100.00     1030.575         207.589        1012.236       -2759.842         820.333        -8.402
5200.00     1034.606         207.599        1032.996       -2758.453         890.533        -8.945
5300.00     1038.560         207.609        1053.756       -2757.149         960.611        -9.467
5400.00     1042.441         207.618        1074.518       -2755.935        1030.799        -9.971
5500.00     1046.251         207.627        1095.280       -2754.816        1100.833       -10.455
5600.00     1049.992         207.635        1116.043       -2753.800        1170.994       -10.922
5700.00     1053.667         207.643        1136.807       -2752.899        1240.960       -11.372
5800.00     1057.278         207.651        1157.572       -2752.105        1311.039       -11.807
5900.00     1060.828         207.658        1178.337       -2751.444        1381.200       -12.228
6000.00     1064.318         207.664        1199.103       -2750.814        1451.262       -12.634
