 T (K)   S (J/mol.K)     Cp (J/mol.K)    ddH (kJ/mol)        dHf (kJ/mol)     dGf (kJ/mol)  log Kf
   0.00        0.000           0.000           0.000       -1729.463       -1729.463           Inf
 100.00      355.945         106.840           7.322       -1731.816       -1720.591       898.733
 200.00      443.041         145.504          20.109       -1735.317       -1708.038       446.089
 298.15      506.143         170.818          35.703       -1738.163       -1694.007       296.779
 300.00      507.201         171.215          36.019       -1738.207       -1693.733       294.902
 400.00      559.053         188.955          54.086       -1740.107       -1678.597       219.200
 500.00      602.580         200.811          73.614       -1741.392       -1663.063       173.737
 600.00      639.943         208.766          94.119       -1742.462       -1647.296       143.408
 700.00      672.560         214.230         115.285       -1743.673       -1631.348       121.731
 800.00      701.432         218.090         136.912       -1745.286       -1615.190       105.460
 900.00      727.290         220.896         158.868       -1747.550       -1598.801        92.791
1000.00      750.677         222.989         181.067       -1803.586       -1578.318        82.442
1100.00      772.009         224.585         203.450       -1805.851       -1555.682        73.872
1200.00      791.606         225.828         225.973       -1808.075       -1532.838        66.722
1300.00      809.722         226.813         248.607       -1810.274       -1509.814        60.664
1400.00      826.561         227.606         271.329       -1812.459       -1486.618        55.466
1500.00      842.287         228.253         294.123       -1814.645       -1463.273        50.955
1600.00      857.035         228.787         316.976       -1816.835       -1439.771        47.003
1700.00      870.919         229.233         339.878       -1819.038       -1416.145        43.512
1800.00      884.033         229.610         362.820       -1821.263       -1392.383        40.405
1900.00      896.456         229.930         385.798       -1823.510       -1368.491        37.622
2000.00      908.257         230.205         408.805       -1825.783       -1344.477        35.114
2100.00      919.495         230.442         431.837       -1828.091       -1320.359        32.842
2200.00      930.220         230.649         454.892       -1830.431       -1296.128        30.774
2300.00      940.476         230.830         477.966       -1832.810       -1271.790        28.883
2400.00      950.304         230.989         501.057       -1835.226       -1247.422        27.149
2500.00      959.736         231.129         524.164       -1837.682       -1222.834        25.549
2600.00      968.804         231.254         547.283       -1840.178       -1198.255        24.073
2700.00      977.534         231.366         570.414       -1842.714       -1173.496        22.702
2800.00      985.950         231.466         593.556       -3314.797       -1143.754        21.337
2900.00      994.074         231.556         616.707       -3311.939       -1066.263        19.205
3000.00     1001.925         231.637         639.866       -3309.117        -988.947        17.219
3100.00     1009.522         231.710         663.034       -3306.339        -911.688        15.362
3200.00     1016.879         231.777         686.208       -3303.605        -834.498        13.622
3300.00     1024.012         231.838         709.389       -3300.902        -757.376        11.988
3400.00     1030.934         231.894         732.576       -3298.240        -680.194        10.450
3500.00     1037.657         231.945         755.768       -3295.615        -603.291         9.004
3600.00     1044.192         231.992         778.964       -3293.034        -526.351         7.637
3700.00     1050.549         232.035         802.166       -3290.487        -449.550         6.346
3800.00     1056.737         232.074         825.371       -3287.977        -372.910         5.126
3900.00     1062.766         232.111         848.581       -3285.507        -296.268         3.968
4000.00     1068.643         232.145         871.793       -3283.080        -219.632         2.868
4100.00     1074.376         232.177         895.010       -3280.696        -143.011         1.822
4200.00     1079.971         232.206         918.229       -3278.354         -66.608         0.828
4300.00     1085.435         232.234         941.451       -3276.055           9.973        -0.121
4400.00     1090.774         232.259         964.675       -3273.806          86.292        -1.024
4500.00     1095.994         232.283         987.903       -3271.598         162.559        -1.887
4600.00     1101.100         232.306        1011.132       -3269.451         238.992        -2.714
4700.00     1106.096         232.327        1034.364       -3267.364         315.112        -3.502
4800.00     1110.987         232.346        1057.597       -3265.339         391.376        -4.259
4900.00     1115.778         232.365        1080.833       -3263.373         467.558        -4.984
5000.00     1120.473         232.382        1104.070       -3261.488         543.622        -5.679
5100.00     1125.075         232.399        1127.309       -3259.674         619.832        -6.348
5200.00     1129.588         232.414        1150.550       -3257.948         695.895        -6.990
5300.00     1134.015         232.429        1173.792       -3256.314         771.832        -7.607
5400.00     1138.360         232.442        1197.036       -3254.777         847.873        -8.201
5500.00     1142.625         232.455        1220.281       -3253.342         923.756        -8.773
5600.00     1146.814         232.468        1243.527       -3252.019         999.759        -9.325
5700.00     1150.928         232.479        1266.774       -3250.819        1075.563        -9.856
5800.00     1154.972         232.491        1290.023       -3249.735        1151.467       -10.370
5900.00     1158.946         232.501        1313.272       -3248.794        1227.457       -10.867
6000.00     1162.854         232.511        1336.523       -3247.893        1303.338       -11.346
