 T (K)   S (J/mol.K)     Cp (J/mol.K)    ddH (kJ/mol)        dHf (kJ/mol)     dGf (kJ/mol)  log Kf
   0.00        0.000           0.000           0.000       -1090.692       -1090.692           Inf
 100.00      261.520          47.640           3.687       -1094.262       -1083.656       566.037
 200.00      305.456          83.052          10.231       -1098.946       -1071.156       279.754
 298.15      343.949         109.556          19.780       -1101.895       -1056.823       185.149
 300.00      344.628         109.944          19.983       -1101.935       -1056.543       183.958
 400.00      378.684         126.169          31.860       -1103.524       -1041.144       135.958
 500.00      407.965         135.830          45.000       -1104.401       -1025.439       107.126
 600.00      433.301         141.833          58.906       -1105.020       -1009.586        87.891
 700.00      455.479         145.751          73.298       -1105.682        -993.633        74.145
 800.00      475.127         148.427          88.015       -1106.577        -977.565        63.828
 900.00      492.725         150.325         102.958       -1107.869        -961.366        55.796
1000.00      508.639         151.715         118.063       -1141.436        -942.719        49.242
1100.00      523.150         152.763         133.289       -1142.753        -922.783        43.819
1200.00      536.478         153.570         148.608       -1144.057        -902.726        39.294
1300.00      548.797         154.205         163.998       -1145.358        -882.564        35.461
1400.00      560.244         154.712         179.444       -1146.663        -862.299        32.172
1500.00      570.932         155.125         194.937       -1147.979        -841.944        29.319
1600.00      580.955         155.464         210.467       -1149.308        -821.496        26.819
1700.00      590.389         155.746         226.028       -1150.656        -800.972        24.611
1800.00      599.298         155.984         241.615       -1152.027        -780.363        22.645
1900.00      607.737         156.185         257.223       -1153.424        -759.675        20.885
2000.00      615.753         156.358         272.851       -1154.845        -738.911        19.298
2100.00      623.385         156.507         288.494       -1156.299        -718.079        17.861
2200.00      630.669         156.636         304.151       -1157.783        -697.180        16.553
2300.00      637.634         156.749         319.821       -1159.300        -676.210        15.357
2400.00      644.307         156.848         335.501       -1160.851        -655.216        14.260
2500.00      650.712         156.936         351.190       -1162.437        -634.092        13.248
2600.00      656.869         157.014         366.887       -1164.057        -612.963        12.314
2700.00      662.796         157.083         382.592       -1165.711        -591.723        11.447
2800.00      668.510         157.145         398.304       -2049.103        -567.488        10.586
2900.00      674.025         157.201         414.021       -2047.540        -514.597         9.269
3000.00      679.355         157.252         429.744       -2046.008        -461.807         8.041
3100.00      684.512         157.297         445.471       -2044.513        -409.046         6.892
3200.00      689.507         157.339         461.203       -2043.052        -356.322         5.816
3300.00      694.349         157.377         476.939       -2041.618        -303.630         4.806
3400.00      699.048         157.411         492.679       -2040.217        -250.899         3.855
3500.00      703.611         157.443         508.421       -2038.847        -198.326         2.960
3600.00      708.047         157.472         524.167       -2037.510        -145.728         2.114
3700.00      712.362         157.499         539.916       -2036.201         -93.205         1.316
3800.00      716.563         157.523         555.667       -2034.921         -40.776         0.560
3900.00      720.655         157.546         571.420       -2033.673          11.663        -0.156
4000.00      724.644         157.567         587.176       -2032.456          64.104        -0.837
4100.00      728.535         157.587         602.934       -2031.272         116.542        -1.485
4200.00      732.332         157.605         618.693       -2030.120         168.858        -2.100
4300.00      736.041         157.622         634.455       -2028.998         221.283        -2.688
4400.00      739.665         157.638         650.218       -2027.913         273.556        -3.247
4500.00      743.208         157.653         665.982       -2026.860         325.803        -3.782
4600.00      746.673         157.667         681.748       -2025.849         378.162        -4.294
4700.00      750.064         157.679         697.515       -2024.880         430.335        -4.783
4800.00      753.384         157.692         713.284       -2023.953         482.598        -5.252
4900.00      756.635         157.703         729.054       -2023.069         534.824        -5.701
5000.00      759.821         157.714         744.825       -2022.240         586.985        -6.132
5100.00      762.945         157.724         760.596       -2021.461         639.235        -6.547
5200.00      766.007         157.733         776.369       -2020.741         691.408        -6.945
5300.00      769.012         157.742         792.143       -2020.083         743.507        -7.328
5400.00      771.961         157.751         807.918       -2019.492         795.674        -7.697
5500.00      774.855         157.759         823.693       -2018.970         847.757        -8.051
5600.00      777.698         157.767         839.470       -2018.522         899.918        -8.394
5700.00      780.490         157.774         855.247       -2018.158         951.964        -8.724
5800.00      783.234         157.781         871.024       -2017.874        1004.077        -9.043
5900.00      785.932         157.787         886.803       -2017.683        1056.241        -9.351
6000.00      788.584         157.793         902.582       -2017.528        1108.352        -9.649
