   T(K)   S(J/mol.K)     Cp(J/mol.K)     ddH(kJ/mol)     dHf(kJ/mol)     dGf(kJ/mol)         log Kf
   0.00        0.000           0.000           0.000       -2052.388       -2052.388       Infinity
 100.00      252.988          60.388           4.066       -2058.966       -2029.478       1060.078
 200.00      311.306         112.543          12.780       -2066.193       -1997.048        521.569
 298.15      364.067         151.925          25.879       -2070.714       -1962.046        343.738
 300.00      365.008         152.527          26.160       -2070.775       -1961.371        341.501
 400.00      412.714         178.323          42.805       -2073.075       -1924.508        251.312
 500.00      454.365         194.330          61.500       -2074.089       -1887.230        197.155
 600.00      490.762         204.516          81.479       -2074.530       -1849.812        161.038
 700.00      522.829         211.264         102.290       -2074.876       -1812.336        135.237
 800.00      551.361         215.916         123.662       -2075.432       -1774.791        115.881
 900.00      576.995         219.237         145.429       -2076.447       -1737.156        100.821
1000.00      600.227         221.682         167.481       -2120.445       -1696.338         88.607
1100.00      621.446         223.530         189.746       -2121.407       -1653.881         78.535
1200.00      640.959         224.958         212.173       -2122.327       -1611.335         70.139
1300.00      659.012         226.083         234.727       -2123.222       -1568.718         63.031
1400.00      675.800         226.984         257.382       -2124.106       -1526.026         56.936
1500.00      691.486         227.717         280.118       -2124.996       -1483.281         51.652
1600.00      706.203         228.320         302.921       -2125.894       -1440.469         47.026
1700.00      720.060         228.823         325.779       -2126.812       -1397.607         42.943
1800.00      733.152         229.246         348.683       -2127.757       -1354.686         39.311
1900.00      745.556         229.606         371.626       -2128.734       -1311.708         36.061
2000.00      757.341         229.913         394.603       -2129.743       -1268.673         33.134
2100.00      768.566         230.179         417.607       -2130.797       -1225.598         30.485
2200.00      779.279         230.410         440.637       -2131.891       -1182.470         28.075
2300.00      789.526         230.611         463.688       -2133.033       -1139.293         25.874
2400.00      799.344         230.789         486.759       -2134.221       -1096.118         23.856
2500.00      808.769         230.946         509.846       -2135.459       -1052.807         21.997
2600.00      817.829         231.085         532.947       -2136.746       -1009.521         20.281
2700.00      826.553         231.209         556.062       -2138.082        -966.126         18.691
2800.00      834.963         231.320         579.189       -3315.073        -918.766         17.140
2900.00      843.083         231.420         602.326       -3312.127        -833.233         15.008
3000.00      850.930         231.510         625.472       -3309.228        -747.864         13.021
3100.00      858.522         231.592         648.627       -3306.381        -662.559         11.164
3200.00      865.876         231.666         671.790       -3303.584        -577.331          9.424
3300.00      873.006         231.734         694.961       -3300.826        -492.173          7.790
3400.00      879.925         231.796         718.137       -3298.118        -406.989          6.253
3500.00      886.645         231.852         741.320       -3295.452        -322.041          4.806
3600.00      893.177         231.904         764.507       -3292.837        -237.082          3.440
3700.00      899.532         231.952         787.700       -3290.262        -152.248          2.149
3800.00      905.718         231.996         810.898       -3287.728         -67.555          0.929
3900.00      911.745         232.037         834.099       -3285.241          17.123         -0.229
4000.00      917.620         232.075         857.305       -3282.799         101.785         -1.329
4100.00      923.351         232.110         880.514       -3280.405         186.420         -2.375
4200.00      928.945         232.143         903.727       -3278.055         270.869         -3.369
4300.00      934.407         232.173         926.943       -3275.750         355.454         -4.318
4400.00      939.745         232.201         950.162       -3273.497         439.812         -5.221
4500.00      944.964         232.228         973.383       -3271.290         524.118         -6.084
4600.00      950.068         232.253         996.607       -3269.143         608.556         -6.910
4700.00      955.063         232.276        1019.834       -3267.054         692.729         -7.699
4800.00      959.954         232.298        1043.062       -3265.027         777.000         -8.455
4900.00      964.744         232.318        1066.293       -3263.060         861.206         -9.180
5000.00      969.437         232.337        1089.526       -3261.170         945.315         -9.876
5100.00      974.038         232.355        1112.760       -3259.350        1029.531        -10.544
5200.00      978.550         232.373        1135.997       -3257.613        1113.616        -11.186
5300.00      982.977         232.389        1159.235       -3255.964        1197.594        -11.803
5400.00      987.321         232.404        1182.475       -3254.409        1281.650        -12.397
5500.00      991.585         232.418        1205.716       -3252.950        1365.576        -12.969
5600.00      995.773         232.432        1228.958       -3251.597        1449.597        -13.521
5700.00      999.887         232.445        1252.202       -3250.360        1533.445        -14.052
5800.00     1003.930         232.457        1275.447       -3249.235        1617.371        -14.566
5900.00     1007.904         232.469        1298.693       -3248.242        1701.356        -15.062
6000.00     1011.811         232.480        1321.941       -3247.302        1785.258        -15.542
