 T (K)   S (J/mol.K)     Cp (J/mol.K)    ddH (kJ/mol)        dHf (kJ/mol)     dGf (kJ/mol)  log Kf
   0.00        0.000           0.000           0.000       -1396.708       -1396.708           Inf
 100.00      308.983          87.292           5.723       -1401.146       -1377.956       719.762
 200.00      381.968         124.163          16.463       -1404.545       -1353.361       353.457
 298.15      436.373         148.669          29.917       -1406.457       -1327.777       232.618
 300.00      437.294         149.057          30.192       -1406.479       -1327.289       231.099
 400.00      482.704         166.315          46.019       -1407.089       -1300.770       169.861
 500.00      521.132         177.743          63.261       -1406.923       -1274.198       133.113
 600.00      554.256         185.338          81.440       -1406.429       -1247.698       108.620
 700.00      583.239         190.515         100.249       -1405.929       -1221.287        91.132
 800.00      608.930         194.154         119.492       -1405.634       -1194.928        78.020
 900.00      631.958         196.787         139.046       -1405.721       -1168.590        67.822
1000.00      652.798         198.745         158.827       -1438.074       -1139.938        59.544
1100.00      671.813         200.236         178.780       -1438.173       -1110.119        52.715
1200.00      689.288         201.394         198.864       -1438.261       -1080.290        47.023
1300.00      705.445         202.311         219.050       -1438.349       -1050.456        42.207
1400.00      720.466         203.047         239.320       -1438.443       -1020.612        38.079
1500.00      734.496         203.648         259.655       -1438.559        -990.769        34.501
1600.00      747.656         204.144         280.046       -1438.694        -960.910        31.370
1700.00      760.045         204.558         300.482       -1438.859        -931.049        28.607
1800.00      771.747         204.907         320.955       -1439.059        -901.171        26.151
1900.00      782.834         205.204         341.461       -1439.298        -871.280        23.953
2000.00      793.366         205.458         361.995       -1439.575        -841.371        21.974
2100.00      803.396         205.678         382.552       -1439.901        -811.455        20.184
2200.00      812.969         205.869         403.129       -1440.273        -781.525        18.556
2300.00      822.124         206.036         423.725       -1440.695        -751.574        17.069
2400.00      830.896         206.183         444.336       -1441.168        -721.646        15.706
2500.00      839.315         206.313         464.961       -1441.693        -691.631        14.451
2600.00      847.409         206.429         485.598       -1442.269        -661.650        13.293
2700.00      855.202         206.532         506.246       -1442.897        -631.604        12.219
2800.00      862.715         206.624         526.904       -2325.281        -598.600        11.167
2900.00      869.967         206.708         547.571       -2322.725        -536.972         9.672
3000.00      876.976         206.783         568.245       -2320.219        -475.483         8.279
3100.00      883.757         206.851         588.927       -2317.765        -414.052         6.977
3200.00      890.325         206.912         609.615       -2315.362        -352.690         5.757
3300.00      896.693         206.969         630.309       -2313.001        -291.388         4.612
3400.00      902.873         207.020         651.009       -2310.688        -230.079         3.535
3500.00      908.874         207.067         671.713       -2308.419        -168.950         2.521
3600.00      914.708         207.111         692.422       -2306.199        -107.823         1.564
3700.00      920.384         207.150         713.135       -2304.020         -46.798         0.661
3800.00      925.908         207.187         733.852       -2301.882          14.119        -0.194
3900.00      931.291         207.221         754.573       -2299.788          75.015        -1.005
4000.00      936.537         207.253         775.296       -2297.740         135.896        -1.775
4100.00      941.655         207.282         796.023       -2295.736         196.748        -2.507
4200.00      946.651         207.309         816.753       -2293.774         257.457        -3.202
4300.00      951.529         207.334         837.485       -2291.855         318.262        -3.866
4400.00      956.296         207.358         858.219       -2289.985         378.892        -4.498
4500.00      960.956         207.380         878.956       -2288.157         439.482        -5.101
4600.00      965.514         207.401         899.695       -2286.384         500.167        -5.680
4700.00      969.975         207.420         920.436       -2284.663         560.646        -6.231
4800.00      974.342         207.438         941.179       -2282.997         621.200        -6.760
4900.00      978.619         207.455         961.924       -2281.386         681.703        -7.267
5000.00      982.811         207.471         982.670       -2279.843         742.122        -7.753
5100.00      986.919         207.486        1003.418       -2278.361         802.630        -8.221
5200.00      990.948         207.501        1024.168       -2276.952         863.031        -8.669
5300.00      994.901         207.514        1044.918       -2275.621         923.353        -9.100
5400.00      998.780         207.527        1065.670       -2274.372         983.729        -9.516
5500.00     1002.588         207.539        1086.424       -2273.205        1044.004        -9.915
5600.00     1006.328         207.550        1107.178       -2272.131        1104.355       -10.301
5700.00     1010.001         207.561        1127.934       -2271.157        1164.575       -10.672
5800.00     1013.611         207.571        1148.690       -2270.282        1224.850       -11.031
5900.00     1017.160         207.581        1169.448       -2269.519        1285.166       -11.378
6000.00     1020.649         207.590        1190.206       -2268.813        1345.419       -11.713
