 T (K)   S (J/mol.K)     Cp (J/mol.K)    ddH (kJ/mol)        dHf (kJ/mol)     dGf (kJ/mol)  log Kf
   0.00        0.000           0.000           0.000        -395.487        -395.487           Inf
 100.00      220.632          35.937           3.381        -395.976        -399.311       208.576
 200.00      249.100          48.486           7.560        -398.312        -401.778       104.932
 298.15      270.765          60.120          12.924        -400.324        -403.028        70.608
 300.00      271.138          60.298          13.036        -400.356        -403.044        70.175
 400.00      289.607          67.838          19.474        -401.905        -403.696        52.717
 500.00      305.278          72.425          26.505        -403.199        -403.991        42.204
 600.00      318.757          75.305          33.903        -404.431        -404.033        35.174
 700.00      330.517          77.196          41.534        -405.751        -403.866        30.136
 800.00      340.915          78.492          49.322        -407.259        -403.494        26.345
 900.00      350.216          79.414          57.220        -409.049        -402.919        23.385
1000.00      358.620          80.090          65.197        -432.366        -400.608        20.925
1100.00      366.278          80.600          73.232        -434.190        -397.345        18.868
1200.00      373.309          80.993          81.313        -436.008        -393.913        17.146
1300.00      379.805          81.303          89.428        -437.826        -390.333        15.684
1400.00      385.839          81.550          97.571        -439.646        -386.610        14.424
1500.00      391.473          81.752         105.737        -441.472        -382.761        13.329
1600.00      396.754          81.917         113.920        -443.306        -378.785        12.366
1700.00      401.725          82.055         122.119        -445.149        -374.699        11.513
1800.00      406.418          82.171         130.331        -447.004        -370.501        10.752
1900.00      410.864          82.270         138.553        -448.872        -366.199        10.067
2000.00      415.086          82.354         146.784        -450.753        -361.797         9.449
2100.00      419.106          82.427         155.023        -452.650        -357.304         8.887
2200.00      422.942          82.490         163.269        -454.562        -352.720         8.375
2300.00      426.610          82.545         171.521        -456.491        -348.048         7.904
2400.00      430.124          82.594         179.778        -458.437        -343.321         7.472
2500.00      433.496          82.636         188.039        -460.401        -338.466         7.072
2600.00      436.738          82.674         196.305        -462.381        -333.575         6.702
2700.00      439.859          82.708         204.574        -464.379        -328.575         6.357
2800.00      442.867          82.739         212.847       -1054.196        -321.543         5.998
2900.00      445.771          82.766         221.122       -1054.038        -295.378         5.320
3000.00      448.578          82.791         229.400       -1053.895        -269.251         4.688
3100.00      451.293          82.813         237.680       -1053.771        -243.112         4.096
3200.00      453.922          82.834         245.962       -1053.665        -216.968         3.542
3300.00      456.471          82.852         254.247       -1053.571        -190.819         3.020
3400.00      458.945          82.869         262.533       -1053.495        -164.620         2.529
3500.00      461.347          82.884         270.820       -1053.435        -138.500         2.067
3600.00      463.683          82.899         279.110       -1053.391        -112.340         1.630
3700.00      465.954          82.912         287.400       -1053.363         -86.205         1.217
3800.00      468.165          82.924         295.692       -1053.349         -60.109         0.826
3900.00      470.319          82.935         303.985       -1053.352         -33.986         0.455
4000.00      472.419          82.945         312.279       -1053.372          -7.840         0.102
4100.00      474.468          82.955         320.574       -1053.410          18.322        -0.233
4200.00      476.467          82.964         328.870       -1053.465          44.423        -0.552
4300.00      478.419          82.972         337.167       -1053.537          70.620        -0.858
4400.00      480.327          82.980         345.464       -1053.630          96.732        -1.148
4500.00      482.191          82.987         353.762       -1053.740         122.852        -1.426
4600.00      484.015          82.994         362.062       -1053.873         149.059        -1.693
4700.00      485.800          83.000         370.361       -1054.032         175.159        -1.947
4800.00      487.548          83.006         378.662       -1054.214         201.336        -2.191
4900.00      489.259          83.012         386.962       -1054.422         227.506        -2.425
5000.00      490.937          83.017         395.264       -1054.661         253.644        -2.650
5100.00      492.581          83.022         403.566       -1054.929         279.863        -2.866
5200.00      494.193          83.027         411.868       -1055.233         306.044        -3.074
5300.00      495.774          83.031         420.171       -1055.573         332.195        -3.274
5400.00      497.326          83.035         428.474       -1055.953         358.404        -3.467
5500.00      498.850          83.039         436.778       -1056.373         384.566        -3.652
5600.00      500.346          83.043         445.082       -1056.838         410.799        -3.832
5700.00      501.816          83.046         453.387       -1057.352         436.966        -4.004
5800.00      503.261          83.050         461.691       -1057.914         463.188        -4.171
5900.00      504.680          83.053         469.997       -1058.531         489.470        -4.333
6000.00      506.076          83.056         478.302       -1059.166         515.720        -4.490
