 T (K)   S (J/mol.K)     Cp (J/mol.K)    ddH (kJ/mol)        dHf (kJ/mol)     dGf (kJ/mol)  log Kf
   0.00        0.000           0.000           0.000       -1644.586       -1644.586           Inf
 100.00      288.222          74.863           4.973       -1648.805       -1631.506       852.201
 200.00      353.383         115.691          14.608       -1653.655       -1612.274       421.078
 298.15      405.437         145.267          27.501       -1656.948       -1591.197       278.768
 300.00      406.337         145.722          27.770       -1656.994       -1590.789       276.978
 400.00      451.173         165.409          43.403       -1658.821       -1568.411       204.811
 500.00      489.516         177.762          60.608       -1659.795       -1545.685       161.475
 600.00      522.676         185.676          78.808       -1660.435       -1522.801       132.570
 700.00      551.720         190.941          97.656       -1661.117       -1499.814       111.916
 800.00      577.468         194.580         116.943       -1662.090       -1476.702        96.418
 900.00      600.545         197.184         136.538       -1663.574       -1453.447        84.355
1000.00      621.424         199.103         156.357       -1708.074       -1426.953        74.535
1100.00      640.472         200.555         176.343       -1709.560       -1398.770        66.421
1200.00      657.973         201.678         196.457       -1711.019       -1370.449        59.653
1300.00      674.152         202.563         216.671       -1712.462       -1342.011        53.922
1400.00      689.190         203.272         236.964       -1713.902       -1313.457        49.005
1500.00      703.235         203.849         257.321       -1715.350       -1284.809        44.741
1600.00      716.407         204.325         277.730       -1716.808       -1256.056        41.006
1700.00      728.806         204.721         298.183       -1718.285       -1227.220        37.707
1800.00      740.518         205.054         318.672       -1719.788       -1198.292        34.773
1900.00      751.612         205.338         339.192       -1721.318       -1169.275        32.145
2000.00      762.151         205.580         359.739       -1722.876       -1140.174        29.778
2100.00      772.186         205.790         380.307       -1724.473       -1111.001        27.634
2200.00      781.764         205.972         400.896       -1726.104       -1081.753        25.684
2300.00      790.923         206.131         421.501       -1727.776       -1052.429        23.901
2400.00      799.699         206.271         442.121       -1729.489       -1023.089        22.267
2500.00      808.122         206.394         462.755       -1731.242        -993.585        20.760
2600.00      816.219         206.504         483.400       -1733.037        -964.091        19.369
2700.00      824.015         206.602         504.055       -1734.875        -934.467        18.078
2800.00      831.530         206.690         524.720       -2912.359        -900.860        16.806
2900.00      838.784         206.769         545.393       -2909.898        -829.059        14.933
3000.00      845.795         206.840         566.073       -2907.477        -757.407        13.187
3100.00      852.579         206.904         586.760       -2905.100        -685.807        11.556
3200.00      859.149         206.963         607.454       -2902.765        -614.266        10.027
3300.00      865.518         207.016         628.153       -2900.463        -542.780         8.591
3400.00      871.699         207.065         648.857       -2898.203        -471.255         7.240
3500.00      877.702         207.110         669.566       -2895.980        -399.953         5.969
3600.00      883.537         207.151         690.279       -2893.799        -328.626         4.768
3700.00      889.213         207.189         710.996       -2891.653        -257.412         3.634
3800.00      894.739         207.223         731.716       -2889.543        -186.333         2.561
3900.00      900.122         207.256         752.440       -2887.472        -115.252         1.544
4000.00      905.370         207.285         773.167       -2885.441         -44.181         0.577
4100.00      910.488         207.313         793.897       -2883.451          26.880        -0.342
4200.00      915.484         207.339         814.630       -2881.501          97.763        -1.216
4300.00      920.364         207.363         835.365       -2879.590         168.781        -2.050
4400.00      925.131         207.385         856.103       -2877.725         239.593        -2.844
4500.00      929.792         207.406         876.842       -2875.901         310.360        -3.603
4600.00      934.350         207.426         897.584       -2874.131         381.266        -4.329
4700.00      938.812         207.444         918.327       -2872.415         451.909        -5.022
4800.00      943.179         207.461         939.072       -2870.753         522.671        -5.688
4900.00      947.457         207.477         959.819       -2869.146         593.368        -6.325
5000.00      951.649         207.492         980.568       -2867.610         663.970        -6.936
5100.00      955.758         207.507        1001.318       -2866.137         734.690        -7.525
5200.00      959.787         207.520        1022.069       -2864.742         805.291        -8.089
5300.00      963.740         207.533        1042.822       -2863.426         875.790        -8.631
5400.00      967.620         207.545        1063.576       -2862.198         946.368        -9.154
5500.00      971.428         207.556        1084.331       -2861.058        1016.824        -9.657
5600.00      975.168         207.567        1105.087       -2860.015        1087.380       -10.143
5700.00      978.842         207.577        1125.844       -2859.081        1157.769       -10.610
5800.00      982.452         207.587        1146.603       -2858.248        1228.246       -11.061
5900.00      986.001         207.596        1167.362       -2857.538        1298.784       -11.498
6000.00      989.490         207.605        1188.122       -2856.872        1369.243       -11.920
