 T (K)   S (J/mol.K)     Cp (J/mol.K)    ddH (kJ/mol)        dHf (kJ/mol)     dGf (kJ/mol)  log Kf
   0.00        0.000           0.000           0.000       -1320.113       -1320.113           Inf
 100.00      320.978          85.810           6.344       -1321.509       -1316.150       687.478
 200.00      389.808         114.202          16.437       -1324.446       -1309.698       342.054
 298.15      439.358         134.250          28.682       -1326.953       -1301.897       228.084
 300.00      440.190         134.567          28.931       -1326.992       -1301.741       226.651
 400.00      480.965         148.643          43.139       -1328.758       -1293.039       168.852
 500.00      515.208         157.981          58.502       -1330.045       -1283.954       134.132
 600.00      544.600         164.213          74.632       -1331.175       -1274.629       110.965
 700.00      570.254         168.480          91.279       -1332.430       -1265.113        94.403
 800.00      592.959         171.489         108.286       -1334.015       -1255.388        81.967
 900.00      613.290         173.673         125.550       -1336.127       -1245.439        72.283
1000.00      631.676         175.300         143.002       -1381.263       -1232.183        64.362
1100.00      648.445         176.540         160.597       -1383.386       -1217.172        57.798
1200.00      663.849         177.506         178.301       -1385.480       -1201.967        52.320
1300.00      678.088         178.271         196.091       -1387.556       -1186.591        47.677
1400.00      691.323         178.886         213.950       -1389.623       -1171.053        43.692
1500.00      703.682         179.388         231.865       -1391.692       -1155.373        40.233
1600.00      715.273         179.803         249.825       -1393.766       -1139.546        37.202
1700.00      726.185         180.149         267.823       -1395.852       -1123.602        34.524
1800.00      736.490         180.441         285.853       -1397.956       -1107.526        32.139
1900.00      746.253         180.689         303.910       -1400.079       -1091.330        30.002
2000.00      755.526         180.902         321.990       -1402.223       -1075.019        28.076
2100.00      764.357         181.087         340.089       -1404.396       -1058.607        26.331
2200.00      772.785         181.247         358.206       -1406.595       -1042.092        24.742
2300.00      780.845         181.387         376.338       -1408.825       -1025.477        23.289
2400.00      788.568         181.510         394.483       -1411.086       -1008.822        21.956
2500.00      795.979         181.619         412.639       -1413.380        -991.977        20.726
2600.00      803.105         181.716         430.806       -1415.705        -975.127        19.590
2700.00      809.964         181.802         448.982       -1418.063        -958.118        18.536
2800.00      816.577         181.880         467.166       -2596.059        -937.112        17.482
2900.00      822.961         181.950         485.358       -2594.101        -877.895        15.812
3000.00      829.130         182.013         503.556       -2592.173        -818.807        14.257
3100.00      835.100         182.070         521.760       -2590.281        -759.755        12.802
3200.00      840.881         182.121         539.970       -2588.423        -700.746        11.438
3300.00      846.486         182.169         558.184       -2586.591        -641.782        10.158
3400.00      851.925         182.212         576.404       -2584.791        -582.758         8.953
3500.00      857.207         182.251         594.627       -2583.022        -523.947         7.819
3600.00      862.342         182.288         612.854       -2581.287        -465.099         6.748
3700.00      867.337         182.321         631.084       -2579.581        -406.352         5.737
3800.00      872.199         182.352         649.318       -2577.903        -347.724         4.780
3900.00      876.936         182.381         667.554       -2576.259        -289.088         3.872
4000.00      881.554         182.407         685.794       -2574.647        -230.447         3.009
4100.00      886.059         182.431         704.036       -2573.071        -171.811         2.189
4200.00      890.455         182.454         722.280       -2571.529        -113.340         1.410
4300.00      894.749         182.476         740.527       -2570.020         -54.722         0.665
4400.00      898.944         182.495         758.775       -2568.552           3.697        -0.044
4500.00      903.045         182.514         777.026       -2567.117          62.085        -0.721
4600.00      907.057         182.531         795.278       -2565.731         120.610        -1.370
4700.00      910.983         182.547         813.532       -2564.393         178.889        -1.988
4800.00      914.826         182.563         831.787       -2563.104         237.293        -2.582
4900.00      918.591         182.577         850.044       -2561.863         295.636        -3.151
5000.00      922.279         182.590         868.303       -2560.686         353.899        -3.697
5100.00      925.895         182.603         886.562       -2559.567         412.280        -4.223
5200.00      929.441         182.615         904.823       -2558.518         470.550        -4.727
5300.00      932.920         182.626         923.085       -2557.542         528.723        -5.211
5400.00      936.333         182.637         941.349       -2556.644         586.993        -5.678
5500.00      939.685         182.647         959.613       -2555.828         645.134        -6.127
5600.00      942.976         182.657         977.878       -2555.101         703.383        -6.561
5700.00      946.209         182.666         996.144       -2554.473         761.474        -6.978
5800.00      949.386         182.674        1014.411       -2553.938         819.656        -7.382
5900.00      952.509         182.683        1032.679       -2553.516         877.907        -7.772
6000.00      955.579         182.690        1050.948       -2553.127         936.083        -8.149
