 T (K)   S (J/mol.K)     Cp (J/mol.K)    ddH (kJ/mol)        dHf (kJ/mol)     dGf (kJ/mol)  log Kf
   0.00        0.000           0.000           0.000        -837.849        -837.849           Inf
 100.00      282.994          60.675           4.781        -838.873        -839.080       438.285
 200.00      331.439          80.859          11.886        -841.540        -838.296       218.938
 298.15      366.834          96.659          20.638        -843.852        -836.187       146.495
 300.00      367.433          96.908          20.818        -843.888        -836.138       145.583
 400.00      396.919         107.831          31.093        -845.594        -833.283       108.814
 500.00      421.797         114.898          42.255        -846.919        -830.047        86.713
 600.00      443.184         119.530          53.992        -848.127        -826.559        71.957
 700.00      461.860         122.661          66.112        -849.434        -822.865        61.402
 800.00      478.390         124.851          78.494        -850.996        -818.963        53.472
 900.00      493.191         126.431          91.062        -852.960        -814.845        47.292
1000.00      506.576         127.602         103.766        -887.197        -808.206        42.216
1100.00      518.781         128.493         116.573        -889.178        -800.210        37.998
1200.00      529.992         129.184         129.458        -891.142        -792.034        34.476
1300.00      540.355         129.730         142.405        -893.094        -783.697        31.489
1400.00      549.986         130.169         155.401        -895.043        -775.207        28.923
1500.00      558.979         130.527         168.436        -896.996        -766.583        26.694
1600.00      567.413         130.822         181.504        -898.953        -757.822        24.740
1700.00      575.351         131.069         194.599        -900.921        -748.945        23.012
1800.00      582.849         131.276         207.717        -902.904        -739.948        21.472
1900.00      589.952         131.453         220.853        -904.903        -730.840        20.092
2000.00      596.698         131.604         234.006        -906.918        -721.622        18.847
2100.00      603.123         131.735         247.173        -908.955        -712.310        17.718
2200.00      609.254         131.848         260.353        -911.012        -702.899        16.689
2300.00      615.117         131.948         273.542        -913.094        -693.395        15.747
2400.00      620.734         132.035         286.742        -915.199        -683.840        14.883
2500.00      626.126         132.112         299.949        -917.329        -674.132        14.085
2600.00      631.309         132.181         313.164        -919.483        -664.399        13.348
2700.00      636.298         132.242         326.385        -921.663        -654.532        12.663
2800.00      641.109         132.297         339.612       -1805.571        -641.654        11.970
2900.00      645.752         132.346         352.844       -1804.514        -600.101        10.809
3000.00      650.239         132.391         366.081       -1803.480        -558.630         9.726
3100.00      654.581         132.431         379.322       -1802.473        -517.173         8.714
3200.00      658.786         132.468         392.567       -1801.492        -475.735         7.765
3300.00      662.863         132.501         405.816       -1800.529        -434.318         6.875
3400.00      666.819         132.532         419.067       -1799.593        -392.845         6.035
3500.00      670.661         132.560         432.322       -1798.679        -351.518         5.246
3600.00      674.396         132.586         445.579       -1797.791        -310.152         4.500
3700.00      678.029         132.609         458.839       -1796.924        -268.850         3.795
3800.00      681.566         132.631         472.101       -1796.079        -227.629         3.129
3900.00      685.011         132.651         485.365       -1795.259        -186.386         2.496
4000.00      688.370         132.670         498.631       -1794.464        -145.132         1.895
4100.00      691.646         132.687         511.899       -1793.695        -103.868         1.323
4200.00      694.844         132.703         525.169       -1792.952         -62.722         0.780
4300.00      697.966         132.718         538.440       -1792.234         -21.449         0.261
4400.00      701.018         132.732         551.712       -1791.547          19.675        -0.234
4500.00      704.001         132.746         564.986       -1790.885          60.788        -0.706
4600.00      706.919         132.758         578.262       -1790.259         102.015        -1.158
4700.00      709.774         132.769         591.538       -1789.670         143.069        -1.590
4800.00      712.569         132.780         604.815       -1789.117         184.223        -2.005
4900.00      715.307         132.790         618.094       -1788.600         225.341        -2.402
5000.00      717.990         132.800         631.373       -1788.133         266.402        -2.783
5100.00      720.620         132.809         644.654       -1787.707         307.564        -3.150
5200.00      723.199         132.817         657.935       -1787.335         348.651        -3.502
5300.00      725.729         132.825         671.217       -1787.017         389.674        -3.840
5400.00      728.212         132.833         684.500       -1786.759         430.773        -4.167
5500.00      730.649         132.840         697.784       -1786.561         471.791        -4.481
5600.00      733.043         132.847         711.068       -1786.430         512.890        -4.784
5700.00      735.394         132.853         724.353       -1786.374         553.884        -5.076
5800.00      737.705         132.859         737.639       -1786.387         594.948        -5.358
5900.00      739.976         132.865         750.925       -1786.485         636.075        -5.631
6000.00      742.209         132.870         764.212       -1786.608         677.151        -5.895
