 T (K)   S (J/mol.K)     Cp (J/mol.K)    ddH (kJ/mol)        dHf (kJ/mol)     dGf (kJ/mol)  log Kf
   0.00        0.000           0.000           0.000       -1284.082       -1284.082           Inf
 100.00      272.665          56.857           4.091       -1288.700       -1270.544       663.656
 200.00      324.016          95.142          11.720       -1293.755       -1250.329       326.549
 298.15      367.820         124.319          22.584       -1296.823       -1228.286       215.188
 300.00      368.590         124.760          22.814       -1296.863       -1227.861       213.787
 400.00      407.276         143.568          36.306       -1298.322       -1204.606       157.303
 500.00      440.660         155.160          51.288       -1298.887       -1181.099       123.387
 600.00      469.647         162.518          67.199       -1299.081       -1157.520       100.770
 700.00      495.089         167.387          83.710       -1299.251       -1133.917        84.613
 800.00      517.673         170.741         100.626       -1299.615       -1110.272        72.492
 900.00      537.929         173.136         117.826       -1300.353       -1086.565        63.062
1000.00      556.267         174.899         135.232       -1333.350       -1060.472        55.393
1100.00      573.002         176.231         152.792       -1334.088       -1033.149        49.060
1200.00      588.382         177.261         170.469       -1334.808       -1005.756        43.779
1300.00      602.603         178.072         188.237       -1335.523        -978.306        39.308
1400.00      615.825         178.721         206.078       -1336.239        -950.800        35.474
1500.00      628.174         179.250         223.977       -1336.970        -923.248        32.150
1600.00      639.757         179.685         241.924       -1337.716        -895.641        29.239
1700.00      650.661         180.047         259.912       -1338.483        -867.991        26.670
1800.00      660.961         180.352         277.932       -1339.278        -840.291        24.384
1900.00      670.719         180.611         295.980       -1340.105        -812.546        22.338
2000.00      679.989         180.833         314.053       -1340.962        -784.752        20.495
2100.00      688.817         181.025         332.146       -1341.859        -756.922        18.827
2200.00      697.242         181.191         350.257       -1342.793        -729.048        17.310
2300.00      705.300         181.337         368.384       -1343.769        -701.132        15.923
2400.00      713.020         181.465         386.524       -1344.786        -673.212        14.652
2500.00      720.430         181.578         404.676       -1345.847        -645.184        13.480
2600.00      727.554         181.678         422.839       -1346.949        -617.172        12.399
2700.00      734.412         181.767         441.011       -1348.094        -589.069        11.396
2800.00      741.024         181.848         459.192       -2230.986        -557.991        10.409
2900.00      747.407         181.920         477.380       -2228.931        -498.275         8.975
3000.00      753.575         181.985         495.576       -2226.914        -438.674         7.638
3100.00      759.543         182.044         513.777       -2224.943        -379.120         6.388
3200.00      765.324         182.097         531.984       -2223.014        -319.619         5.217
3300.00      770.928         182.146         550.197       -2221.119        -260.162         4.118
3400.00      776.366         182.191         568.413       -2219.266        -200.681         3.083
3500.00      781.648         182.231         586.635       -2217.447        -141.372         2.110
3600.00      786.782         182.269         604.860       -2215.671         -82.049         1.190
3700.00      791.777         182.303         623.088       -2213.930         -22.816         0.322
3800.00      796.639         182.335         641.320       -2212.223          36.316        -0.499
3900.00      801.375         182.365         659.555       -2210.554          95.447        -1.278
4000.00      805.993         182.392         677.793       -2208.923         154.565        -2.018
4100.00      810.497         182.417         696.033       -2207.332         213.669        -2.722
4200.00      814.893         182.441         714.276       -2205.776         272.642        -3.391
4300.00      819.186         182.463         732.522       -2204.257         331.718        -4.030
4400.00      823.381         182.483         750.769       -2202.781         390.630        -4.637
4500.00      827.482         182.502         769.018       -2201.342         449.509        -5.218
4600.00      831.494         182.520         787.269       -2199.951         508.487        -5.774
4700.00      835.419         182.537         805.522       -2198.607         567.277        -6.304
4800.00      839.262         182.552         823.777       -2197.312         626.147        -6.814
4900.00      843.027         182.567         842.032       -2196.067         684.964        -7.302
5000.00      846.715         182.581         860.290       -2194.881         743.719        -7.769
5100.00      850.331         182.594         878.549       -2193.751         802.557        -8.220
5200.00      853.877         182.606         896.809       -2192.688         861.300        -8.652
5300.00      857.355         182.618         915.070       -2191.695         919.975        -9.067
5400.00      860.769         182.629         933.332       -2190.776         978.705        -9.467
5500.00      864.120         182.639         951.596       -2189.932        1037.344        -9.852
5600.00      867.411         182.649         969.860       -2189.173        1096.062       -10.224
5700.00      870.644         182.659         988.126       -2188.504        1154.651       -10.581
5800.00      873.821         182.668        1006.392       -2187.925        1213.305       -10.927
5900.00      876.943         182.676        1024.659       -2187.450        1272.012       -11.261
6000.00      880.014         182.684        1042.927       -2187.020        1330.651       -11.584
